# Amusing_Name,redshift_amusing,def_name,SN_name,SN_type,pgc,hl_names(pgc),objtype,al1950,de1950,celposb(pgc),al2000,de2000,celposj(pgc),l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs,Pointings,RA_pointing,DEC_pointing,Source,RA_DSS,DEC_DSS,offset_RA,offset_DEC,,SNX,SNY,GALX,GALY,,RA_SN,DEC_SN,RA_GAL,DEC_GAL,SN_name
anon57,0.0264,KUG1237+183,ASASSN14ad,Ia,89735,SDSSJ124011.38+180342.1/SDSSJ124011.38+180342.0/SDSSJ124011.38+180341.9/PGC089735/KUG1237+183/AGC742540,G,12.6281471,18.3360815,B123741.3+182010,12.6698264,18.0617219,J124011.4+180342,286.3918088,80.5701808,98.0775333,1.4197158,0,Sc,,,,,4.5,2.1,773,67,0.26,28,22.86,23292,203,17514,0.08,16728,0.5,,,15968,66,,,,,87.9,9.37,,,,,,,17247,0.42,,7936.0,8.5,7919.3,2.5,7920.6,3.7,79,431,58.79,0.03,0.77,16175,,,23848,102.77,11.01,17215,1.04,7848.6,7891.5,8055.1,8230.3,35356,135,,,35356,135,-19181,518,1.0,12:40:11,18:03:42,P96,12:40:11.38,18:03:042.2,-5.62560000002,-9.19884,,,,,,,12:40:11,18:03:33,,,ASASSN14ad
UGC11037,0.010431,UGC11037,ASASSN14at,II,61102,UGC11037/PGC061102/LGG414:[G93]006/2MASXJ17550542+1815267,G,17.8815353,18.264485,B175253.5+181552,17.918131,18.2572,J175505.3+181526,43.5942557,20.4001616,104.2233452,75.4512473,1,Sd,,,,,8.0,0.5,954,51,0.53,28,52.24,,,,,16.0,0.5,,,,,13399,0.17,,,73.92,4.74,,,,,,,17481,0.42,,3127.0,10.3,3127.0,60.0,3127.0,7.2,356,963,90.0,0.83,966,14673,,,23441,73.92,,16655,1982,3311.6,3285.5,3356.8,3047.2,33438,323,,,33438,323,-18765,595,1.0,17:55:05,18:15:26,P96,17:55:05.27,18:15:25.92,-4.07399999974,1.08,,151,153,151,155,,17:55:5.430,18:15:26.40,17:55:5.427,18:15:26.76,ASASSN14at
anon59,0.032668,SDSSJ102131.91+082419.8,ASASSN14ba,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10:21:32,08:24:20,P96,10:21:32,08:24:19,0.0,0.0,,170,170,168,163,,10:21:31.900,8:24:21.12,10:21:21.12,8:24:19.86,ASASSN14ba
CGCG103-030,0.022447,CGCG103-030,ASASSN14bf,II,49715,SDSSJ135813.13+173151.9/SDSSJ135813.13+173151.8/SDSSJ135813.12+173151.8/PGC049715/NPM1G+17.0468/MCG+03-36-014/CGCG103-030/AGC231556/2MASXJ13581316+1731521,G,13.930483,17.7739336,B135549.7+174626,13.9703097,17.5310751,J135813.1+173152,4.487328,71.8475354,102.9860449,19.3598844,0,Sbc,,R,,,3.9,3.0,786,61,71,31,76.71,21961,254,17038,0.11,15971,492,,,14567,95,12.4,112,,,56.16,5.99,,,,,,,17096,0.42,,6734.0,8.5,6719.0,4.6,6722.4,5.2,128,116,32.86,0.02,795,15682,,,23.51,103.49,11.36,17075,1392,6704.0,6737.5,6897.7,6970.8,35016,157,,,35016,157,-19333,517,1.0,13:58:13,17:31:52,P96,13:58:13.11,17:31:51.87,-1.72379999995,5.12964,,193,168,164,160,,13:58:13,17:31:57,,,ASASSN14bf
CGCG023-005,0.03334,CGCG023-005,ASASSN14co,Ia,56486,PGC056486/CGCG023-005/AGC251367/2MASXJ15573025+0106432,G,15.9160157,1.2551376,B155457.7+011518,15.9584028,1112,J155730.3+010643,10.7043236,38.4020137,130.4852854,43.8814671,0,,,,,,,,0.8,63,0.23,28,12.5,,,,,15474,0.41,,,14.11,77,12317,84,,,123.87,13.21,,,,,,,16344,0.42,,9954.0,8.5,9995.0,79.0,9954.5,7.1,413,,55.23,0.03,,14961,,,23214,150.79,16.17,16314,1353,9973.9,9999.5,10103.0,10070.2,35844,107,,,35844,107,-20883,424,1.0,15:57:30,01:06:43,P96,15:57:30.25,01:06:043.2,-3.75120000015,-9.2,,191,113,162,151,,15:57:29.910,1:06:33.74,15:57:29,01:06:33,ASASSN14co
anon60,0.024797,2MASXJ12470274-2414435,ASASSN14cu,Ia,158115,PGC158115/6dFJ1247028-241444/2MASXJ12470274-2414435,G,12.739744,-23.9726098,B124423.1-235821,12.7841011,-24.2455266,J124702.8-241444,301.6506293,38.6153271,139.4463869,-8.1463415,0,S0-a,,,,,-1.0,2.0,,,,,35.0,,,,,16.65,0.5,,,,,11634,59,,,,,,,,,,,,,,,,7444.4,42.8,7444.4,42.8,0.41,,,,,16129,,,,,,,,7214.5,7298.2,7383.2,7769.0,35155,147,,,35155,147,-19027,521,1.0,12:47:03,-24:14:44,P96,12:47:02.76,-24:14:043.9,3.54059999986,1.89576,,161,181,156,170,,12:47:2.680,-24:14:41.30,12:47:2.772,-24:14:43.73,ASASSN14cu
ESO075-G049,0.037519,ESO075-G049,ASASSN14db,Ia,67875,PGC067875/IRAS21578-7017/ESOLV0750490/ESO075-049/6dFJ2202018-700230/2MASXJ22020178-7002298,G,21.9653831,-70.2827749,B215755.4-701658,22.0338347,-70.0416111,J220201.8-700230,320.6095213,-40.7758063,220.8532987,-1.6824871,0,Sc,,,,,4.6,2.2,815,48,111,28,,20682,351,,,15.08,0.2,,,13.46,77,11779,92,,,,,,,,,,,,,13745,,,11248.8,45.0,11248.8,45.0,0.13,187,40.29,0.02,823,14701,,,22687,,,,,11102.3,11138.0,11008.6,11170.9,36038,99,,,36038,99,-21337,223,1.0,22:02:02,-70:02:29,P96,22:02:001.8,-70:02:029.8,2.92619999998,1.79996000001,,165,177,167,158,,22:02:1.850,-70:02:26.10,22:02:1.865,-70:02:29.83,ASASSN14db
NGC2466,0.017722,NGC2466,ASASSN14dd,Ibn,21714,PGC021714/NGC2466/IRAS07456-7117/HIPASSJ0745-71/ESOLV0590180/ESO059-018/6dFJ0745161-712438/2MASXJ07451596-7124376,G,7.7610218,-71.2867656,B074539.7-711712,7.7544458,-71.4104306,J074516.0-712438,283.4704348,-21.4793448,201.6643781,-33.7904733,0,Sc,,,,,5.0,0.4,1179,29,16,26,,22.06,257,13448,84,13718,84,13138,84,11975,75,10131,61,0.49,0.69,59.35,2.72,,,,,,,14662,0.16,,5331.0,5.8,5314.6,4.9,5321.5,6.2,715,28,16.0,0.02,1246,12945,-415,377,23323,215.25,12.7,14.64,1695,5041.1,5110.9,5022.1,5436.4,34317,216,,,34317,216,-21372,232,4.0,7:45:21/7:45:11/7:45:21/7:45:11,-71:25:03/-71:25:03/-71:24:13/-71:24:13,P96,07:45:016.0,-71:24:37.55,-30.0732,23.55016,,338,396,289,286,,07:45:14,-71:24:14,,,ASASSN14dd
ESO506-G004,0.013416,ESO506-G004,ASASSN14dl,II,39991,PGC039991/MCG-04-29-021/IRAS12192-2353/ESOLV5060040/ESO506-004/AGC028485/6dFJ1221491-241006/2MIG1709/2MASXJ12214904-2410056,G,12.3201727,-23.890978,B121912.6-235328,12.363623,-24.1683003,J122149.0-241006,294.3255237,38.2079812,138.1067061,-13.746698,0,SABb,B,R,,,2.5,1.0,1344,22,336,23,88.69,21.89,311,,,13323,322,,,11255,72,9138,82,,0.9,238.96,4.0,,,,,,,16034,108,13041,4021.5,6.1,3959.2,39.8,4020.1,7.9,334,447,67.27,0.04,1362,12512,,,23268,259.08,4.4,15.99,3479,3775.7,3861.2,3944.6,4357.8,33.8,275,,,33.8,275,-21289,423,1.0,12:21:51,-24:10:06,P96,12:21:49.04,-24:10:05.88,29.3579999999,11.88108,,133,230,293,172,,12:21:51,-24:09:54,,,ASASSN14dl
ESO319-G15,0.009159,ESO319-G015,ASASSN14dp,II,34856,PGC615881/PGC034856/HIPASSJ1122-37/ESO319-015,G,11.3258667,-37.6266255,B111933.1-373736,11.3661253,-37.9010083,J112158.1-375404,284.0799944,21.6736108,151.4173567,-27.7955497,0,Sm,,,,,8.6,2.1,0.97,48,0.17,27,81.5,,,,,15.15,0.5,,,14.22,81,13.26,376,,,45.85,2.42,,,,,,,15656,189,,2743.6,7.1,2737.0,60.0,2743.5,5.0,524,314,54.17,0.03,1013,14309,,,23394,56.55,3.04,15628,1319,2447.9,2539.0,2575.7,3060.4,32873,421,,,32873,421,-18565,654,1.0,11:21:56,-37:53:58,P96,11:21:58.05,-37:54:03.63,-0.76620000001,-20.37012,,230,97,247,134,,11:21:58,-37:54:24,,,ASASSN14dp
