# Amusing_Name,redshift_amusing,def_name,SN_name,SN_type,pgc,hl_names(pgc),objtype,al1950,de1950,celposb(pgc),al2000,de2000,celposj(pgc),l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,mg2,e_mg2,m21,e_m21,mfir,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,ubtc,bvtc,bri25,vrot,e_vrot,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs,Pointings,RA_pointing,DEC_pointing,Source,RA_DSS,DEC_DSS,offset_RA,offset_DEC,,SNX,SNY,GALX,GALY,,RA_SN,DEC_SN,RA_GAL,DEC_GAL,SN_name
anon67,0.011325,2MASXJ07353554-6246099,ASASSN14jc,Ia,340055,PGC340055/6dFJ0735355-624610/2MASXJ07353554-6246099,G,7.5834223,-62.6569552,B073500.3-623925,7.5932056,-62.7694306,J073535.5-624610,274.5520445,-19.1154971,200.1846507,-42.4029344,0,,,,,,,,0.88,57,0.09,28,125.5,,,,,14.97,0.5,,,13.51,73,11905,0.1,,,,,,,,,,,,,,,,3395.4,45.0,3395.4,45.0,681,,36.3,0.02,,14255,,,23.11,,,,,3104.9,3175.3,3093.3,3533.8,33274,352,,,33274,352,-19019,612,1.0,07:35:36,-62:46:10,P96,07:35:35.54,-62:46:09.95,-8.10240000001,-3.04984,,173,150,159,163,,07:35:35,-62:46:13,,,ASASSN14jc
PGC128348,0.014827,PGC128348,ASASSN14jg,Ia,128348,PGC195767/PGC128348/6dFJ2333122-603420/2MASXJ23331223-6034201,G,23.5066181,-60.8486463,B233023.8-605055,23.5533945,-60.5722626,J233312.2-603420,319.1889949,-54.0171699,233.9342502,-4.0450317,0,Sc,,,,,5.0,3.0,984,46,91,0.03,15.93,,,,,15.12,0.5,,,13.26,77,12146,184,,,,,,,,,,,,,,,,4445.9,33.5,4445.9,33.5,65,157,36.72,0.02,986,14873,,,23603,,,,,4335.5,4355.2,4202.9,4304.9,33931,259,,,33931,259,-19058,563,1.0,23:33:12,-60:34:20,P96,23:33:12.22,-60:34:20.15,26.6970000001,8.14536000001,,91,213,153,168,,23:33:14,-60:34:12,,,ASASSN14jg
anon68,0.01200,GALEXASCJ184443.33-524819.2,ASASSN14jz,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,18:44:43,-52:48:19,P96,18:44:44,-52:48:05,0.0,0.0,,,,,,,18:44:44,-52:48:05,,,ASASSN14jz
ESO253-G003,0.042489,ESO253-G003,ASASSN14ko,II,17260,PGC017260/IRAS05238-4602/ESOLV2530030/ESO253-003/2MASXJ05251805-4600213,G,5.397987,-46.0487898,B052352.8-460256,5.4216806,-46.0059167,J052518.1-460021,251.9753923,-33.7068159,233.5127728,-54.3745722,0,Sa,,,,,1.0,2.0,0.96,44,286,29,161.57,,,,,15.11,0.2,14.2,0.1,13584,102,11273,74,,,,,,,,,,,,,12227,,,12709.0,37.0,12709.0,37.0,187,248,65.0,0.04,966,14516,,,23342,,,,,12476.5,12519.3,12405.3,12756.3,36303,88,,,36303,88,-21787,218,1.0,05:25:18,-46:00:21,P96,05:25:18.05,-46:00:021.3,-0.752399999993,1.30012000001,,165,169,169,163,,5:25:18.130,-46:00:20.30,5:25:18.058,-46:00:21.36,ASASSN14ko
anon70,0.02300,GALEXASCJ003952.48-380347.3,ASASSN14kp,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,00:39:53,-38:03:49,P96,00:39:53,-38:03:52,0.0,0.0,,,,,,,00:39:53,-38:03:52,,,ASASSN14kp
anon71,0.0336,2MASXJ23451480-2947009,ASASSN14kq,Ia,133560,PGC133560/6dFJ2345148-294701/2MASXJ23451480-2947009/2DFGRSS354Z135,G,23.7106582,-30.0613891,B234238.4-300341,23.7541192,-29.7836135,J234514.8-294701,18.6947034,-75.2249423,262.9229834,6.6581735,0,Sc,,,,,5.0,3.0,719,142,211,53,110.5,,,,,16355,354,,,,,13475,145,,,,,,,,,,,,,,,,10073.0,45.0,10073.0,45.0,81,0.36,53.6,0.03,718,15858,,,23288,,,,,10116.1,10087.4,9922.6,9779.6,35807,0.11,,,35807,0.11,-19949,371,1.0,23:45:15,-29:47:00,P96,23:45:14.83,-29:47:01.01,17.5631999999,0.00859999999534,,116,162,162,163,,23:45:16,-29:47:01,,,ASASSN14kq
anon72,0.014000,GALEXASCJ125413.02-073849.5,ASASSN14kr,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12:54:13,-7:38:50,P96,12:54:13,-7:38:57,0.0,0.0,,,,,,,12:54:13,-7:38:57,,,ASASSN14kr
PGC043234,0.0206,PGC043234,ASASSN14li,TDE,43234,SDSSJ124815.23+174626.5/SDSSJ124815.23+174626.4/PGC043234/8ZW211/2MASSJ12481522+1746261,G,12.762747,18.0464999,B124545.9+180247,12.8042365,17.7739673,J124815.3+174626,298.2779956,80.6168973,98.8765449,3.1876345,0,E,,,,,-5.0,3.0,605,288,104,0.1,36.92,18577,0.21,17.51,31,16413,364,,,15315,0.07,13514,204,,,,,,,,,,,,,,,,6169.1,2.2,6169.1,2.2,0.11,0.0,57.69,0.03,619,16.21,,,23298,,,,,6100.8,6143.4,6307.2,6474.7,34.81,172,,,34.81,172,-18.6,403,1.0,12:48:15,17:46:26,P96,12:48:15.25,17:46:26.28,-3.77099999999,0.717720000002,,164,159,166,156,,12:48:15,17:46:27,,,ASASSN14li
NGC4666,0.005101,NGC4666,ASASSN14lp,Ia,42975,[FN2007]1233/UGC07926/SDSSJ124508.59-002742.7/PGC042975/NGC4666/MRC1242-001/MCG+00-33-008/LGG299:[G93]002/IRAS12425-0011/HIPEQJ1245-00/HIPASSJ1245-00/CGCG015-015/6dFJ1245086-002743/2MFGC10050/2MASXJ12450867-0027428,G,12.7096672,-0.1885635,B124234.8-001119,12.7523985,-0.4618785,J124508.6-002743,299.5377285,62.3683759,116.2267326,-2.500966,0,SABc,B,,,,5.0,0.8,1696,19,402,39,40.23,20968,316,,,11455,139,10787,0.1,9508,149,7061,37,215,0.83,180.76,2.1,,,,,,,13.52,125,,1516.7,3.2,1522.9,5.6,1518.3,2.8,107,674,69.64,0.05,1.69,10666,,641,22922,192.81,2.3,13472,2806,1368.0,1432.9,1571.2,1855.8,31809,691,30825,277,30962,492,-20296,512,3.0,12:45:07/12:45:10/12:45:05,-0:27:27/-0:27:59/-0:28:05,P96,12:45:08.63,00:27:42.76,5.48099999997,3314.7626,,,,,,,12:45:09,-0:27:32,,,ASASSN14lp
IC0299,0.032046,IC0299,ASASSN14lt,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,03:11:03,-13:06:35,P96,03:11:03,-13:06:39,0.0,0.0,,164,145,167,177,,3:11:2.540,-13:06:38.76,3:11:2.542,-13:06:34.43,ASASSN14lt
anon74,0.026995,2MASXJ14103977-0241003,ASASSN14lu,Ia,1085367,SDSSJ141039.75-024100.6/SDSSJ141039.74-024100.6/PGC1085367/NPM1G-02.0387/2MASXJ14103977-0241003/2DFGRSN206Z141,G,14.1345532,-2.4482686,B140804.4-022654,14.1777116,-2.683481,J141039.8-024101,338.6792462,54.5946341,124.4454217,17.3966034,0,E,,R,M,,-4.0,1.7,733,82,0.1,27,174.55,20415,308,16482,47,15297,357,,,13468,232,11054,0.07,,,,,,,,,,,,,,,,8189.9,2.5,8189.9,2.5,282,0.0,49.67,0.02,0.77,14893,,,22824,,,,,8096.7,8151.5,8280.4,8452.4,35412,131,,,35412,131,-20519,381,1.0,14:10:40,-2:41:01,P96,14:10:39.76,-02:41:00.53,3.57359999998,4.5316,,181,179,162,157,,14:10:39.520,-2:40:56.00,14:10:39.749,-2:41:00.66,ASASSN14lu
anon75,0.049194,LCRSB232926.0-413242,ASASSN14lv,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23:32:07,-41:16:10,P96,23:32:07,-41:16:12,0.0,0.0,,163,153,157,164,,23:32:07.370,-41:16:11.76,23:32:07.478,-41:16:9.71,ASASSN14lv
anon76,0.01600,GALEXASCJ010647.95-465904.1,ASASSN14lw,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,01:06:48,-46:59:04,P96,01:06:49,-46:59:00,0.0,0.0,,,,,,,01:06:49,-46:59:00,,,ASASSN14lw
ESO113-G047,0.018000,ESO113-G047,ASASSN14me,Ia,5373,RFGC0325/PGC173850/PGC005373/FGCE0160/ESOLV1130470/ESO113-047,G,1.4127118,-58.2560383,B012445.8-581522,1.4445154,-57.9967949,J012640.3-575948,293.9927071,-58.5156993,239.8334991,-17.4481435,1,Sc,,,,,5.3,0.9,1.1,36,906,29,13.58,22628,828,,,16.55,0.2,,,15.41,77,13.98,114,,,,,,,,,,,,,,,,,,,,91,1.46,90.0,0.83,1072,14999,,,24148,,,,,,,,,,,,,,,,,2.0,1:26:40/1:26:40,-57:59:26/-58:00:16,P96,01:26:40.26,-57:59:48.46,-3.8316,-1.53836,,161,280,167,285,,01:26:40,-57:59:50,,,ASASSN14me
anon78,0.0311,GALEXASCJ000454.54-322615.3,ASASSN14mf,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,00:04:55,-32:26:16,P96,00:04:54,-32:26:15,0.0,0.0,,181,171,179,159,,00:04:54,-32:26:15,,,ASASSN14mf
anon79,0.03100,GALEXASCJ025358.03-213854.7,ASASSN14mg,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,02:53:58,-21:38:55,P96,02:53:58,-21:38:53,0.0,0.0,,174,169,174,159,,02:53:58,-21:38:53,,,ASASSN14mg
PGC006240,0.027406,PGC006240,ASASSN14mw,Ia,6240,PGC006240/IRAS01399-6552/2MASXJ01413090-6536564,G,1.6667365,-65.868003,B014000.3-655205,1.6919139,-65.6159851,J014130.9-653658,294.8066378,-50.7148283,231.7818608,-19.0674674,1,E-S0,,,,,-2.9,1.5,1039,68,262,42,109.12,,,,,14.5,0.5,,,12.31,74,10647,78,,,,,,,249.12,46.46,,,,,,,,8216.0,15.3,8216.0,15.3,89,0.0,80.82,0.1,1.04,14288,,,23404,,,,,8047.7,8079.6,7929.8,8136.1,35.31,137,,,35.31,137,-21022,518,1.0,01:41:31,-65:36:56,P96,01:41:30.89,-65:36:57.55,-88.3506,-3.45363999998,,,,,,,01:41:25,-65:37:01,,,ASASSN14mw
ESO325-G045,0.017842,ESO325-G045,ASASSN15ab,Iin,50052,PGC050052/MCG-06-31-017/ESOLV3250450/ESO325-045/6dFJ1403085-382831/2MFGC11377/2MASXJ14030932-3828343,G,14.0023575,-38.235608,B140008.5-381408,14.0525063,-38.4757578,J140309.0-382833,318.0279608,22.2847593,157.8983609,2.9982234,0,Scd,B,,,,7.0,0.4,903,71,92,24,68.16,22368,308,,,14.34,0.2,,,,,13.43,295,,,,,,,,,,,,,,,,5325.9,64.0,5325.9,64.0,475,166,40.19,0.02,944,13.68,,,22411,,,,,5111.4,5191.2,5233.3,5564.2,34404,209,,,34404,209,-20724,289,1.0,14:03:09,-38:28:31,P96,14:03:09.02,-38:28:32.73,-45.3401999999,2.72807999998,,304,163,169,156,,14:03:06,-38:28:30,,,ASASSN15ab
NGC3449,0.010921,NGC3449,ASASSN15aj,Ia,32666,PGC032666/NGC3449/MCG-05-26-010/LGG222:[G93]003/IRAS10505-3240/IRAS10505-3239/ESOLV3760250/ESO376-025/AGC027580/2MASXJ10525364-3255394,G,10.842333,-32.6606806,B105032.4-323938,10.8815302,-32.9268589,J105253.5-325537,275.9839046,23.6683399,145.8763063,-33.8932543,1,SABa,B,R,,,2.1,1.0,1564,29,582,39,145.18,20607,648,,,12984,381,,,10758,44,8637,47,0.54,1.03,238.47,2.66,,,,,,,14424,96,12934,3276.5,3.7,3290.1,6.0,3280.2,4.9,0.33,661,90.0,0.83,1572,11.96,,,23768,238.47,,13598,1638,2983.1,3072.6,3115.6,3611.7,33275,348,33283,146,33281,135,-21322,404,6.0,10:52:52/10:52:55/10:52:50/10:52:53/10:52:54/10:52:57,-32:55:53/-32:55:25/-32:55:12/-32:54:44/-32:56:34/-32:56:06,P96,10:52:53.51,-32:55:36.69,-7.63080000007,1.69204,,458,489,433,486,,10:52:53.26,-32:55:34.86,10:52:53.65,-32:55:39.47,ASASSN15aj
ASASSN15hg,0.029771,CGCG063-098,ASASSN15hg,Ia,28525,SDSSJ095349.23+091137.6/SDSSJ095349.22+091137.6/PGC028525/NPM1G+09.0201/KIG0381/CGCG063-098/AGC190579/2MASXJ09534925+0911377,G,9.8526959,9.4301597,B095109.7+092549,9.8970099,9.1937613,J095349.2+091138,227.4901069,44.4680861,90.1106241,-39.2117987,0,SBa,B,,,,1.0,2.0,711,0.18,104,43,68.17,22342,668,17101,112,15771,396,,,14159,74,11571,89,,,96.09,7.14,,,,,,,17633,297,,8991.0,6.4,8969.0,3.5,8974.1,7.2,211,98,40.72,0.02,727,15.35,,,22948,147.28,11.35,17612,2262,8801.0,8852.7,8962.0,9309.0,35582,121,,,35582,121,-20232,414,1.0,9:53:49.29,9:11:38.68,P98,09:53:49.24,09:11:37.54,-9.23460000001,0.259320000001,,,,,,,09:53:48.62,09:11:37.8,,,ASASSN15hg
ASASSN15ho,0.04600,2MASXJ09092454-0443026,ASASSN15ho,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9:09:23.91,-4:43:29.38,P98,09:09:23.89,-04:43:31.0,0.0,0.0,,,,,,,09:09:23.89,-04:43:31.0,,,ASASSN15ho
ESO113-G018,0.026321,ESO113-G018,ASASSN15ja,Ia,4137,PGC004137/ESOLV1130180/ESO113-018/6dFJ0109391-611960/2MFGC00849/2MASXJ01093909-6119597/2DFGRSS902Z749,G,1.1282245,-61.5992999,B010741.6-613557,1.1608581,-61.3332121,J010939.1-612000,299.0610345,-55.657852,236.2371982,-15.4877748,0,S0-a,,,,,-0.2,1.5,1139,35,723,0.03,6.97,20824,401,,,15216,206,,,12896,89,10903,92,,,351.88,31.29,,,,,,,,,,8056.0,7.5,7883.8,32.0,8047.0,27.7,91,154,90.0,0.83,1118,14851,,,24354,351.88,,,,7905.4,7929.2,7772.7,7932.6,35275,0.14,,,35275,0.14,-20425,249,1.0,01:09:39.1,-61:20:00,HK,01:09:39.09,-61:19:59.56,-0.842400000009,1.23355999998,,,,,,,01:09:39.033,-61:19:58.33,,,ASASSN15ja
anon51,NULL,anon51-null,CSP12N,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12:38:16,-15:06:33,P95,12:38:16,-15:06:32,0.0,0.0,,,,,,,12:38:16,-15:06:32,,,CSP12N
anon38,NULL,2MASXJ01460987-6727579,CSP13aad,Ia,295277,PGC295277/2MASXJ01460987-6727579,G,1.7466942,-67.7156064,B014448.1-674256,1.7694083,-67.4660833,J014609.9-672758,295.0201314,-48.8128098,229.7885035,-19.3738908,0,,,,,,,,0.57,87,0.15,28,47.0,,,,,16.89,0.5,,,15.57,73,12.97,0.21,,,,,,,,,,,,,,,,,,,,105,,45.87,0.02,,16785,,,23.48,,,,,,,,,,,,,,,,,1.0,01:46:09,-67:28:01,P95,01:46:09.87,-67:27:057.9,-13.0482,-2.10012000003,,,,,,,01:46:09,-67:28:00,,,CSP13aad
anon35,NULL,2MASXJ05583036-6333386,CSP13aao,Ia,3705858,2MASXJ05583036-6333386,g,5.969729,-63.5627533,B055811.0-633346,5.9751,-63.5607222,J055830.4-633339,272.9223426,-29.9338233,214.7490895,-41.1541481,0,,,,,,,,,,,,115.0,,,,,,,,,,,13057,88,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,1.0,05:58:30,-63:33:38,P95,05:58:30.36,-63:33:038.6,-5.39999999997,0.599920000013,,,,,,,05:58:30,-63:33:38,,,CSP13aao
anon34,NULL,anon34-null,CSP13aaq,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,04:19:47,-63:43:22,P95,04:19:47,-63:43:22,0.0,0.0,,,,,,,4:19:47.170,-63:43:21.60,04:19:47,-63:43:21,CSP13aaq
anon31,NULL,2MASXJ06380745-7543288,CSP13abl,Ia,243186,PGC243186/2MASXJ06380745-7543288,G,6.6644878,-75.6775246,B063952.2-754039,6.6354028,-75.7246667,J063807.5-754329,286.8875426,-27.0420249,207.6509376,-29.94165,0,,,,,,,,0.79,64,0.16,28,80.0,,,,,15.71,0.5,,,14.35,74,12631,451,,,,,,,,,,,,,,,,,,,,431,,47.21,0.02,,15279,,,23.4,,,,,,,,,,,,,,,,,1.0,06:38:07,-75:43:37,P95,06:38:07.45,-75:43:028.8,-6.75119999999,-8.19987999999,,,,,,,06:38:07,-75:43:37,,,CSP13abl
anon42,NULL,2MASXJ02022241-6544090,CSP13Q,Ia,310643,PGC310643/2MASXJ02022241-6544090,G,2.0178244,-65.9759734,B020104.2-655834,2.0395583,-65.7358333,J020222.4-654409,291.7443737,-49.8232311,231.4010757,-21.1881752,0,,,,,,,,0.46,102,0.12,28,105.0,,,,,17.2,0.5,,,16.01,73,13988,273,,,,,,,,,,,,,,,,,,,,147,,41.47,0.02,,17053,,,23.24,,,,,,,,,,,,,,,,,1.0,02:02:22,-65:44:07,P95,02:02:22.41,-65:44:009.0,-6.1482,-0.000120000009929,,,,,,,02:02:22,-65:44:09,,,CSP13Q
anon28,NULL,2MASXJ06134795-6755146,CSP14aaq,Ia,3708581,6dFJ0613480-675515/2MASXJ06134795-6755146,G,6.2329503,-67.9038618,B061358.6-675414,6.2299917,-67.9207083,J061348.0-675515,277.9718108,-28.5050691,211.3031925,-37.3663243,0,E,,,,,-5.0,2.0,,,,,70.0,,,,,,,,,,,10567,82,,,,,,,,,,,,,,,,10781.5,26.4,10781.5,26.4,263,,,,,,,,,,,,,10516.0,10577.3,10471.3,10859.7,35926,104,,,35926,104,,,1.0,06:13:48,-67:55:15,P95,06:13:47.97,-67:55:14.55,0.448199999994,-0.450119999999,,169,155,171,157,,06:13:48,-67:55:15,,,CSP14aaq
anon27,NULL,anon27-null,CSP14aar,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,05:48:23,-66:47:30,P95,05:48:23,-66:47:30,0.0,0.0,,163,161,168,150,,05:48:23,-66:47:30,,,CSP14aar
anon22,NULL,PGC547157,CSP14abn,Ia,547157,PGC547157/6dFJ1356032-433432/2MASXJ13560316-4334319,G,13.8830784,-43.3310987,B135259.1-431952,13.9342179,-43.5755215,J135603.2-433432,315.1505279,17.7579749,162.1091429,-0.176677,0,,,,,,,,0.73,0.07,0.2,28,166.5,,,,,16.7,0.5,,,14505,79,12795,88,,,,,,,,,,,,,,,,6760.4,42.8,6760.4,42.8,374,,52.05,0.03,,16258,,,24.09,,,,,6531.1,6612.8,6640.9,6991.5,34922,164,,,34922,164,-18664,526,1.0,13:56:04,-43:35:09,P95,13:56:03.18,-43:34:31.88,12.2334,-38.1226,,,,,,,13:56:04,-43:35:10,,,CSP14abn
CSS121114_090202+101800,0.04200,SDSSJ090202.19+101759.7,CSS121114_090202+101800,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,9:02:02.21,10:18:00.74,P98,09:02:02.33,+10:18:00.1,0.0,0.0,,,,,,,09:02:02.33,10:18:00.1,,,CSS121114_090202+101800
CSS130317_082848+293031,0.08,2MASXJ08284799+2930519,CSS130317_082848+293031,Ia,1868741,SDSSJ082848.01+293051.6/SDSSJ082848.00+293051.5/PGC1868741/NPM1G+29.0132/LAMOSTJ082848.00+293051.5/2MASXJ08284799+2930519,G,8.4288566,29.6811483,B082543.9+294052,8.4800014,29.5143391,J082848.0+293052,193.8102795,32.9463432,53.0851195,-39.4332893,0,E,,,M,,-5.0,3.0,0.54,95,0.05,27,158.92,22829,687,18064,336,17018,0.56,,,15183,93,12768,116,,,,,,,,,,,,,,,,23480.2,5.0,23480.2,5.0,183,0.0,38.34,0.02,568,16483,,,23589,,,,,23418.6,23430.2,23524.4,23700.8,37735,46,,,37735,46,-21252,562,1.0,8:28:48.01,29:30:38.14,P98,08:28:48.01,29:30:51.62,-3.37560000002,-20.82076,,,,,,,08:28:47.78,29:30:30.8,,,CSS130317_082848+293031
iPTF13dge,0.01584,NGC1762,iPTF13dge,Ia,16654,UGC03238/PGC016654/NGC1762/MCG+00-13-067/LGG120:[G93]024/IRAS05010+0130/CGCG394-073/2MASXJ05033701+0134239,G,5.0170888,1.5040613,B050101.5+013015,5.0602772,1.5733976,J050337.0+013424,198.3946187,-23.0014393,326.0921436,-57.5004337,0,Sc,,,,,5.1,0.8,1242,38,193,26,177.27,21559,305,,,13347,43,12597,43,11196,454,9532,43,,765,194.15,6.44,,,,,,,15.82,92,12549,4751.8,4.1,4753.0,5.0,4752.3,2.3,387,332,51.5,0.03,1.27,12603,,595,22926,248.07,8.4,15793,3.19,4683.9,4674.3,4607.1,4738.4,34132,236,35051,349,34419,459,-21817,462,1.0,5:03:36.70,1:34:21.28,P98,05:03:037.0,01:34:24.23,-25.1688,5.16864,,,,,,,05:03:35.32,01:34:29.4,,,iPTF13dge
anon52,0.06,GALEXASCJ101741.80-072452.2,LSQ12agq,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10:17:42,-7:24:54,P95,10:17:42,-7:24:54,0.0,0.0,,,,,,,10:17:42,-7:24:54,,,LSQ12agq
anon53,0.1,GALEXASCJ105517.85-141757.2,LSQ12aor,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10:55:18,-14:18:00,P95,10:55:18,-14:18:01,0.0,0.0,,,,,,,10:55:18,-14:18:01,,,LSQ12aor
anon54,0.10500,2MASXJ05310364-1948063,LSQ12ca,Ia,850292,PGC850292/2MASXJ05310364-1948063,G,5.481605,-19.8381328,B052853.8-195017,5.5176778,-19.80175,J053103.6-194806,222.8249419,-26.2418389,281.7721818,-69.6119861,0,,,,,,,,0.59,85,0.4,28,24.0,,,,,17.58,0.5,,,,,13383,77,,,,,,,,,,,,,,,,,,,,212,,68.8,0.05,,17368,,,24.27,,,,,,,,,,,,,,,,,1.0,05:31:04,-19:47:59,P95,05:31:03.64,-19:48:006.3,5.39879999998,7.29999999998,,,,,,,05:31:04,-19:47:59,,,LSQ12ca
ESO510-G034,0.037906,ESO510-G034,LSQ12cfx,Ia,49808,PGC049808/ESOLV5100340/ESO510-034/6dFJ1359420-252243/2MASXJ13594200-2522423,G,13.9479697,-25.136242,B135652.7-250810,13.9950047,-25.3784118,J135942.0-252242,321.8124884,34.9781971,145.4358119,7.2493133,0,S0-a,,,,,0.1,2.9,908,48,215,22,107.92,21538,0.36,,,15.6,187,,,13365,75,11031,185,,,,,,,170.0,8.21,0.23,0.01,,,,,,11403.3,46.5,11403.3,46.5,313,102,58.46,0.03,929,15014,,,23737,,,,,11220.6,11295.6,11374.2,11668.9,36113,96,,,36113,96,-21.1,0.21,1.0,13:59:42,-25:22:42,P95,13:59:42.02,-25:22:42.28,-15.2538000001,-8.71752000001,,,,,,,13:59:41,-25:22:51,,,LSQ12cfx
anon80,0.020000,anon80,LSQ12dbr,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,20:58:51.96,-02:58:26.1,P97,20:58:52,-2:58:27,0.0,0.0,,,,,,,20:58:52,-2:58:27,,,LSQ12dbr
LSQ12fmx,0.06700,2MASX J03125293-0012238,LSQ12fmx,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3:12:52.92,-00:12:23.41,P98,03:12:52.18,-00:12:12.8,0.0,0.0,,,,,,,03:12:52.18,-00:12:12.8,,,LSQ12fmx
LSQ12fuk,0.02,PGC899901,LSQ12fuk,Ia,899901,PGC899901,G,4.9336083,-16.3758761,B045601.0-162233,4.9710761,-16.3004502,J045815.9-161802,215.8009927,-32.1993638,291.1626064,-61.9610252,1,,,,,,,,0.79,64,0.71,28,21.0,,,,,17.61,0.5,,,16655,75,,,,,,,,,,,,,,,,,,,,,,361,,85.45,0.21,,17249,,,25.3,,,,,,,,,,,,,,,,,1.0,4:58:15.80,-16:17:59.79,P98,04:58:15.87,-16:18:01.62,0.240600000006,3.82071999999,,,,,,,04:58:15.89,-16:17:57.8,,,LSQ12fuk
ESO472-G007,0.030303,ESO472-G007,LSQ12gdj,Ia,72841,PGC072841/MCG-04-01-002/ESOLV4720070/ESO472-007/DUKST537-004/6dFJ2354452-254023/2DFGRSS133Z137,G,23.8695903,-25.9514087,B235210.5-255705,23.9125591,-25.6730685,J235445.2-254023,36.2746977,-77.2306785,267.5477991,6.2126088,0,Sc,,,,,4.6,2.2,957,47,171,26,82.95,23534,329,,,15796,186,,,14265,84,13.79,0.1,,,,,,,,,,,,,,,,9088.8,15.7,9088.8,15.7,101,287,49.01,0.02,0.96,15358,,,24001,,,,,9148.5,9113.9,8949.6,8782.8,35582,121,,,35582,121,-20224,222,1.0,23:54:44.53,-25:40:31.0,P97,23:54:45.21,-25:40:23.05,-33.1913999999,-10.9534,,,,,,,23:54:43,-25:40:34,,,LSQ12gdj
anon47,0.1,GALEXASCJ024043.58-344425.0,LSQ12gzm,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,02:40:43,-34:44:26,P95,02:40:44,-34:44:26,0.0,0.0,,,,,,,02:40:44,-34:44:26,,,LSQ12gzm
